<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.30	01:00:00	4034.2	4034.9	4033.7	4034.3	119	0	6
2022.08.30	02:00:00	4034.4	4042.9	4031.9	4041.2	603	0	6
2022.08.30	03:00:00	4041.2	4042.2	4026.7	4033.9	1583	0	6
2022.08.30	04:00:00	4033.9	4041.2	4029.2	4030.7	1563	0	6
2022.08.30	05:00:00	4030.7	4036.9	4027.2	4035.7	1529	0	6
2022.08.30	06:00:00	4035.7	4041.2	4033.2	4041.2	1165	0	6
2022.08.30	07:00:00	4041.2	4048.4	4040.1	4045.4	897	0	6
2022.08.30	08:00:00	4045.4	4046.4	4040.7	4044.2	1259	0	6
2022.08.30	09:00:00	4044.2	4046.2	4038.9	4045.7	1598	0	6
2022.08.30	10:00:00	4045.7	4063.2	4041.7	4057.7	2326	0	6
2022.08.30	11:00:00	4057.9	4072.2	4057.4	4064.9	1323	0	6
2022.08.30	12:00:00	4064.9	4068.9	4059.7	4066.7	1068	0	6
2022.08.30	13:00:00	4066.7	4071.7	4063.2	4063.2	1089	0	6
2022.08.30	14:00:00	4063.2	4065.7	4055.4	4057.4	1245	0	6
2022.08.30	15:00:00	4057.4	4062.2	4046.4	4046.9	1465	0	6
2022.08.30	16:00:00	4046.7	4048.4	4020.4	4023.9	3357	0	6
2022.08.30	17:00:00	4023.8	4027.7	3968.4	3984.4	3995	0	1
2022.08.30	18:00:00	3984.7	4000.7	3982.2	3992.4	4483	0	6
2022.08.30	19:00:00	3992.4	4003.9	3979.2	3985.2	3287	0	6
2022.08.30	20:00:00	3985.2	3988.2	3964.4	3978.7	3370	0	6
2022.08.30	21:00:00	3978.7	3984.9	3972.9	3977.4	3670	0	6
2022.08.30	22:00:00	3976.9	3998.2	3975.4	3989.4	4404	0	6
2022.08.31	01:00:00	3983.3	3989.1	3983.3	3988.1	361	0	6
2022.08.31	02:00:00	3988.1	3988.8	3981.6	3986.8	599	0	6
2022.08.31	03:00:00	3986.8	3999.1	3985.1	3997.3	1537	0	6
2022.08.31	04:00:00	3997.3	4002.3	3994.6	3998.1	1454	0	6
2022.08.31	05:00:00	3998.1	4004.8	3998.1	4001.8	1113	0	6
2022.08.31	06:00:00	4001.6	4012.6	4000.3	4008.8	858	0	0
2022.08.31	07:00:00	4008.8	4017.3	4008.8	4012.8	653	0	6
2022.08.31	08:00:00	4012.8	4016.5	4006.5	4010.8	1367	0	6
2022.08.31	09:00:00	4010.8	4014.5	4004.8	4006.8	1470	0	6
2022.08.31	10:00:00	4006.8	4011.3	3992.3	3994.8	2337	0	6
2022.08.31	11:00:00	3994.8	3998.3	3985.3	3989.8	1403	0	6
2022.08.31	12:00:00	3989.8	3990.3	3979.3	3982.6	1570	0	6
2022.08.31	13:00:00	3982.6	4002.3	3979.8	3997.1	1553	0	6
2022.08.31	14:00:00	3997.1	4002.1	3991.1	3996.5	1507	0	6
2022.08.31	15:00:00	3996.5	4006.1	3994.6	4002.3	1827	0	6
2022.08.31	16:00:00	4003.1	4015.8	3985.6	4000.9	2671	0	6
2022.08.31	17:00:00	4000.9	4001.7	3980.0	3985.8	4029	0	6
2022.08.31	18:00:00	3985.3	3996.5	3971.3	3993.8	4665	0	6
2022.08.31	19:00:00	3993.8	3996.0	3976.5	3980.5	4386	0	6
2022.08.31	20:00:00	3980.5	3987.5	3965.3	3971.3	3887	0	6
2022.08.31	21:00:00	3971.5	3976.5	3956.0	3962.8	4297	0	6
2022.08.31	22:00:00	3962.8	3983.0	3954.3	3954.8	5899	0	6
2022.09.01	01:00:00	3945.9	3946.9	3940.9	3945.9	622	0	6
2022.09.01	02:00:00	3945.9	3945.9	3928.4	3935.1	1403	0	6
2022.09.01	03:00:00	3935.1	3937.9	3923.3	3928.9	2223	0	6
2022.09.01	04:00:00	3928.9	3935.4	3928.6	3933.1	1962	0	6
2022.09.01	05:00:00	3933.1	3937.1	3930.6	3932.9	1499	0	6
2022.09.01	06:00:00	3932.9	3934.4	3925.1	3926.4	1127	0	6
2022.09.01	07:00:00	3926.4	3934.1	3926.4	3933.4	1021	0	6
2022.09.01	08:00:00	3933.4	3935.4	3928.6	3930.9	1132	0	6
2022.09.01	09:00:00	3930.9	3935.6	3921.4	3932.6	1350	0	6
2022.09.01	10:00:00	3932.6	3938.4	3923.1	3928.9	1721	0	6
2022.09.01	11:00:00	3929.1	3932.6	3920.1	3923.5	1293	0	6
2022.09.01	12:00:00	3923.4	3931.9	3920.1	3928.9	1003	0	6
2022.09.01	13:00:00	3929.1	3930.1	3924.9	3930.1	1008	0	6
2022.09.01	14:00:00	3930.0	3947.1	3928.9	3941.6	1452	0	6
2022.09.01	15:00:00	3941.6	3943.6	3927.5	3929.1	1152	0	6
2022.09.01	16:00:00	3929.1	3936.4	3922.6	3928.9	1775	0	6
2022.09.01	17:00:00	3928.9	3931.4	3903.4	3906.1	2252	0	6
2022.09.01	18:00:00	3906.1	3928.4	3902.9	3912.1	2152	0	6
2022.09.01	19:00:00	3912.1	3924.8	3905.6	3910.1	2285	0	6
2022.09.01	20:00:00	3910.1	3933.9	3908.3	3924.6	2568	0	6
2022.09.01	21:00:00	3923.6	3952.4	3920.9	3945.1	2959	0	6
2022.09.01	22:00:00	3945.1	3967.4	3938.4	3967.4	3593	0	6
2022.09.02	01:00:00	3970.0	3970.0	3963.5	3966.8	385	0	6
2022.09.02	02:00:00	3966.8	3968.8	3963.3	3968.0	613	0	6
2022.09.02	03:00:00	3968.0	3969.0	3962.0	3965.0	1144	0	6
2022.09.02	04:00:00	3965.0	3966.5	3961.3	3963.5	1049	0	6
2022.09.02	05:00:00	3963.5	3963.9	3957.3	3961.0	889	0	6
2022.09.02	06:00:00	3961.0	3965.3	3960.8	3963.8	828	0	6
2022.09.02	07:00:00	3964.0	3969.3	3963.5	3968.3	715	0	6
2022.09.02	08:00:00	3968.3	3969.8	3957.8	3958.5	851	0	6
2022.09.02	09:00:00	3958.5	3971.3	3954.3	3970.5	894	0	6
2022.09.02	10:00:00	3970.5	3971.3	3957.0	3960.3	1380	0	6
2022.09.02	11:00:00	3960.3	3973.5	3959.5	3972.0	871	0	6
2022.09.02	12:00:00	3972.0	3972.5	3965.3	3969.8	764	0	6
2022.09.02	13:00:00	3969.8	3971.0	3959.0	3965.3	713	0	6
2022.09.02	14:00:00	3965.0	3969.8	3959.3	3967.3	1062	0	6
2022.09.02	15:00:00	3967.3	3999.3	3965.5	3994.5	1353	0	6
2022.09.02	16:00:00	3994.5	4007.3	3978.5	3983.8	1606	0	6
2022.09.02	17:00:00	3983.8	4017.8	3973.0	4005.5	1671	0	6
2022.09.02	18:00:00	4005.5	4016.0	4003.0	4014.8	1817	0	6
2022.09.02	19:00:00	4014.5	4015.8	3960.5	3967.0	2263	0	6
2022.09.02	20:00:00	3967.3	3968.0	3924.0	3925.8	2940	0	6
2022.09.02	21:00:00	3925.7	3942.0	3924.5	3929.0	3280	0	6
2022.09.02	22:00:00	3929.3	3941.8	3905.0	3919.4	3232	0	6
2022.09.05	01:00:00	3918.9	3921.1	3917.9	3919.4	492	0	6
2022.09.05	02:00:00	3919.4	3934.2	3919.2	3932.9	1196	0	6
2022.09.05	03:00:00	3932.9	3938.8	3923.2	3928.4	2164	0	6
2022.09.05	04:00:00	3928.4	3935.9	3926.4	3928.7	2427	0	6
2022.09.05	05:00:00	3928.7	3932.7	3925.4	3928.9	1687	0	6
2022.09.05	06:00:00	3928.9	3935.2	3925.9	3933.6	1367	0	6
2022.09.05	07:00:00	3933.4	3935.4	3930.9	3932.7	917	0	6
2022.09.05	08:00:00	3932.7	3933.2	3924.4	3925.7	954	0	6
2022.09.05	09:00:00	3925.7	3939.7	3923.7	3935.9	1195	0	6
